Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (Seconds),AUC ROC RABK,Accuracy_Rank
Gradient Boosting,0.7779,0.5738,0.6337,0.6023,0.843,7.124,1,3
Logistic Regression,0.7459,0.5138,0.7941,0.6239,0.8402,0.173,2,5
CatBoost,0.7864,0.6052,0.5615,0.5825,0.8369,15.825,3,1
LightGBM,0.7857,0.5957,0.5989,0.5973,0.8358,0.481,4,2
Random Forest,0.7779,0.5874,0.5481,0.5671,0.8214,5.991,5,3
XGBoost,0.7644,0.5603,0.5214,0.5402,0.8098,0.692,6,4
KNN,0.6891,0.4456,0.7005,0.5447,0.7623,0.014,7,7
Decision Tree,0.7147,0.4668,0.5267,0.495,0.6544,0.252,8,6
