iter	Passed	Remaining
406	6048	8812
407	6061	8794
408	6073	8776
409	6086	8758
410	6099	8740
411	6112	8723
412	6126	8707
413	6139	8690
414	6153	8674
415	6167	8658
416	6181	8642
417	6195	8626
418	6211	8613
419	6225	8597
420	6242	8584
421	6256	8569
422	6272	8555
423	6288	8542
424	6302	8527
425	6317	8512
426	6331	8496
427	6344	8479
428	6358	8463
429	6372	8447
430	6387	8432
431	6401	8416
432	6417	8403
433	6431	8387
434	6444	8370
435	6457	8353
436	6471	8337
437	6486	8322
438	6501	8307
439	6516	8293
440	6530	8278
441	6545	8262
442	6557	8244
443	6576	8235
444	6592	8221
445	6605	8205
446	6620	8189
447	6634	8174
448	6649	8159
449	6663	8144
450	6679	8130
451	6693	8115
452	6705	8096
453	6718	8080
454	6732	8063
455	6746	8048
456	6761	8034
457	6776	8019
458	6790	8004
459	6804	7987
460	6817	7970
461	6830	7954
462	6846	7940
463	6867	7932
464	6881	7917
465	6894	7900
466	6909	7885
467	6923	7869
468	6936	7853
469	6948	7835
470	6961	7819
471	6979	7807
472	6994	7792
473	7008	7777
474	7023	7762
475	7036	7745
476	7049	7729
477	7063	7713
478	7076	7697
479	7091	7682
480	7106	7667
481	7120	7652
482	7134	7636
483	7147	7619
484	7160	7603
485	7174	7587
486	7188	7572
487	7203	7557
488	7217	7541
489	7229	7524
490	7243	7508
491	7256	7492
492	7271	7477
493	7285	7462
494	7299	7447
495	7314	7431
496	7326	7415
497	7339	7398
498	7355	7385
499	7371	7371
500	7385	7356
501	7401	7342
502	7415	7327
503	7430	7312
504	7444	7296
505	7457	7280
506	7470	7263
507	7484	7248
508	7500	7234
509	7515	7220
510	7529	7205
511	7543	7189
512	7558	7175
513	7570	7158
514	7583	7142
515	7597	7126
516	7610	7110
517	7624	7094
518	7636	7077
519	7648	7060
520	7662	7045
521	7675	7028
522	7687	7011
523	7700	6994
524	7712	6978
525	7726	6962
526	7738	6945
527	7751	6928
528	7764	6913
529	7776	6896
530	7790	6880
531	7802	6863
532	7815	6847
533	7828	6831
534	7840	6814
535	7853	6798
536	7866	6782
537	7878	6765
538	7892	6750
539	7905	6734
540	7919	6718
541	7931	6702
542	7943	6685
543	7957	6669
544	7969	6653
545	7982	6637
546	7995	6621
547	8007	6604
548	8021	6589
549	8034	6573
550	8047	6557
551	8059	6541
552	8071	6524
553	8084	6508
554	8097	6492
555	8110	6477
556	8124	6461
557	8137	6445
558	8152	6431
559	8166	6416
560	8180	6401
561	8196	6388
562	8210	6373
563	8223	6357
564	8237	6341
565	8251	6327
566	8265	6312
567	8280	6297
568	8293	6281
569	8305	6265
570	8321	6251
571	8337	6238
572	8351	6223
573	8366	6208
574	8380	6193
575	8393	6178
576	8406	6162
577	8419	6147
578	8433	6131
579	8447	6117
580	8462	6102
581	8476	6087
582	8490	6073
583	8504	6057
584	8517	6041
585	8530	6026
586	8544	6012
587	8559	5997
588	8573	5982
589	8585	5966
590	8599	5951
591	8613	5936
592	8627	5921
593	8642	5906
594	8656	5892
595	8670	5877
596	8683	5861
597	8696	5845
598	8711	5831
599	8725	5817
600	8739	5802
601	8753	5787
602	8765	5770
603	8777	5754
604	8791	5739
605	8806	5725
606	8820	5710
607	8834	5695
608	8847	5680
609	8860	5664
610	8874	5649
611	8888	5635
612	8902	5620
613	8916	5605
614	8928	5589
615	8941	5574
616	8956	5559
617	8972	5546
618	8988	5532
619	9003	5518
620	9017	5503
621	9032	5489
622	9047	5475
623	9063	5461
624	9077	5446
625	9091	5431
626	9106	5417
627	9122	5403
628	9137	5389
629	9152	5375
630	9167	5361
631	9183	5347
632	9200	5334
633	9215	5319
634	9230	5305
635	9246	5291
636	9261	5277
637	9276	5263
638	9289	5248
639	9303	5233
640	9318	5218
641	9332	5204
642	9348	5190
643	9363	5176
644	9380	5162
645	9395	5148
646	9410	5134
647	9425	5120
648	9439	5105
649	9454	5090
650	9467	5075
651	9482	5061
652	9496	5046
653	9513	5033
654	9529	5019
655	9545	5005
656	9561	4991
657	9576	4977
658	9591	4962
659	9605	4948
660	9619	4933
661	9631	4917
662	9649	4904
663	9669	4892
664	9685	4878
665	9700	4864
666	9714	4849
667	9727	4834
668	9741	4819
669	9757	4806
670	9772	4791
671	9787	4776
672	9801	4762
673	9816	4747
674	9831	4733
675	9845	4718
676	9858	4703
677	9874	4689
678	9888	4675
679	9903	4660
680	9918	4645
681	9932	4631
682	9947	4616
683	9961	4602
684	9975	4587
685	9989	4572
686	10002	4557
687	10017	4542
688	10030	4527
689	10044	4512
690	10059	4498
691	10072	4483
692	10086	4468
693	10100	4453
694	10115	4439
695	10130	4424
696	10145	4410
697	10159	4395
698	10173	4380
699	10187	4366
700	10202	4351
701	10217	4337
702	10233	4323
703	10248	4309
704	10262	4294
705	10278	4280
706	10293	4265
707	10308	4251
708	10322	4236
709	10336	4221
710	10349	4206
711	10364	4192
712	10379	4177
713	10394	4163
714	10409	4149
715	10425	4135
716	10440	4121
717	10457	4107
718	10473	4093
719	10489	4079
720	10506	4065
721	10522	4051
722	10538	4037
723	10553	4023
724	10568	4008
725	10581	3993
726	10595	3978
727	10609	3964
728	10624	3949
729	10641	3935
730	10656	3921
731	10671	3907
732	10687	3892
733	10701	3878
734	10715	3863
735	10727	3847
736	10740	3832
737	10754	3817
738	10770	3803
739	10784	3789
740	10798	3774
741	10811	3759
742	10824	3743
743	10839	3729
744	10853	3714
745	10867	3700
746	10880	3685
747	10895	3670
748	10908	3655
749	10920	3640
750	10934	3625
751	10948	3610
752	10963	3596
753	10977	3581
754	10989	3566
755	11004	3551
756	11017	3536
757	11032	3522
758	11047	3507
759	11061	3493
760	11077	3479
761	11093	3464
762	11111	3451
763	11126	3436
764	11141	3422
765	11156	3408
766	11170	3393
767	11182	3378
768	11197	3363
769	11211	3348
770	11225	3334
771	11240	3319
772	11255	3305
773	11269	3290
774	11282	3275
775	11296	3260
776	11311	3246
777	11325	3231
778	11339	3216
779	11352	3202
780	11369	3188
781	11384	3173
782	11402	3160
783	11420	3146
784	11435	3131
785	11448	3117
786	11461	3102
787	11477	3087
788	11493	3073
789	11508	3059
790	11521	3044
791	11536	3029
792	11551	3015
793	11565	3000
794	11578	2985
795	11592	2970
796	11604	2955
797	11618	2940
798	11631	2926
799	11644	2911
800	11657	2896
801	11670	2881
802	11685	2866
803	11698	2851
804	11710	2836
805	11724	2822
806	11737	2807
807	11751	2792
808	11765	2777
809	11780	2763
810	11792	2748
811	11806	2733
812	11819	2718
813	11831	2703
814	11846	2688
815	11859	2674
816	11871	2659
817	11884	2644
818	11896	2629
819	11910	2614
820	11923	2599
821	11938	2585
822	11951	2570
823	11963	2555
824	11977	2540
825	11990	2525
826	12003	2511
827	12016	2496
828	12028	2481
829	12042	2466
830	12055	2451
831	12069	2437
832	12083	2422
833	12098	2408
834	12114	2393
835	12129	2379
836	12143	2364
837	12158	2350
838	12173	2336
839	12189	2321
840	12204	2307
841	12221	2293
842	12237	2279
843	12254	2265
844	12271	2250
845	12288	2236
846	12305	2222
847	12322	2208
848	12346	2195
849	12365	2182
850	12383	2168
851	12400	2154
852	12418	2140
853	12435	2125
854	12452	2111
855	12468	2097
856	12484	2083
857	12501	2069
858	12518	2054
859	12535	2040
860	12554	2026
861	12569	2012
862	12585	1997
863	12603	1983
864	12620	1969
865	12637	1955
866	12652	1940
867	12668	1926
868	12685	1912
869	12700	1897
870	12717	1883
871	12734	1869
872	12751	1855
873	12766	1840
874	12783	1826
875	12799	1811
876	12829	1799
877	12848	1785
878	12865	1770
879	12881	1756
880	12898	1742
881	12916	1728
882	12932	1713
883	12948	1699
884	12965	1684
885	12983	1670
886	13000	1656
887	13017	1641
888	13034	1627
889	13053	1613
890	13082	1600
891	13101	1586
892	13118	1571
893	13138	1557
894	13155	1543
895	13172	1528
896	13189	1514
897	13207	1500
898	13224	1485
899	13257	1473
900	13291	1460
901	13318	1446
902	13340	1433
903	13376	1420
904	13406	1407
905	13449	1395
906	13479	1382
907	13500	1367
908	13520	1353
909	13546	1339
910	13565	1325
911	13591	1311
912	13615	1297
913	13635	1282
914	13667	1269
915	13692	1255
916	13719	1241
917	13760	1229
918	13787	1215
919	13817	1201
920	13854	1188
921	13893	1175
922	13946	1163
923	13977	1149
924	14012	1136
925	14046	1122
926	14076	1108
927	14109	1094
928	14161	1082
929	14183	1067
930	14204	1052
931	14222	1037
932	14241	1022
933	14262	1007
934	14281	992
935	14300	977
936	14319	962
937	14337	947
938	14360	932
939	14382	918
940	14403	903
941	14425	888
942	14441	872
943	14461	857
944	14481	842
945	14498	827
946	14516	812
947	14534	797
948	14552	782
949	14568	766
950	14585	751
951	14602	736
952	14618	720
953	14635	705
954	14653	690
955	14671	675
956	14686	659
957	14706	644
958	14723	629
959	14740	614
960	14759	598
961	14777	583
962	14794	568
963	14810	553
964	14827	537
965	14845	522
966	14862	507
967	14879	491
968	14896	476
969	14912	461
970	14927	445
971	14943	430
972	14958	415
973	14974	399
974	14992	384
975	15009	369
976	15026	353
977	15043	338
978	15060	323
979	15078	307
980	15095	292
981	15119	277
982	15142	261
983	15163	246
984	15181	231
985	15205	215
986	15225	200
987	15244	185
988	15261	169
989	15278	154
990	15295	138
991	15319	123
992	15337	108
993	15353	92
994	15370	77
995	15386	61
996	15403	46
997	15419	30
998	15436	15
999	15453	0
