iter	Logloss
0	0.6793711053
1	0.6658399731
2	0.6554884328
3	0.6442710707
4	0.6335486211
5	0.6237764723
6	0.6140924012
7	0.6047328463
8	0.5957837403
9	0.5869246138
10	0.5788541695
11	0.5713173625
12	0.5646418004
13	0.5586092358
14	0.5510327898
15	0.5452352847
16	0.5396658289
17	0.5345301351
18	0.5297080245
19	0.5248530993
20	0.519416494
21	0.5142401046
22	0.5099975925
23	0.5050606216
24	0.5003886237
25	0.496741892
26	0.4922385371
27	0.4879932153
28	0.4843318316
29	0.4805933023
30	0.4769034473
31	0.474110404
32	0.4714351758
33	0.4683567107
34	0.4655634027
35	0.4625458637
36	0.4605520027
37	0.4584837849
38	0.4552448795
39	0.453210759
40	0.451163086
41	0.4495066862
42	0.4471844731
43	0.4451593814
44	0.4427418552
45	0.4403666598
46	0.4384836204
47	0.4366843518
48	0.4345084868
49	0.4320713504
50	0.4298462701
51	0.4279185631
52	0.42626981
53	0.4249665893
54	0.4233744448
55	0.4221831993
56	0.4203848518
57	0.4185303477
58	0.4168193486
59	0.4157600803
60	0.4148607577
61	0.4109288316
62	0.4099191623
63	0.4082328137
64	0.4071584633
65	0.4058263045
66	0.404437954
67	0.4011048384
68	0.3994366143
69	0.3984436298
70	0.3952184057
71	0.3940118375
72	0.3930148428
73	0.3911999904
74	0.3897080216
75	0.3885684112
76	0.3874584094
77	0.3863185437
78	0.384905721
79	0.3833043837
80	0.3823939678
81	0.3815582511
82	0.3808769053
83	0.3796492319
84	0.3787838214
85	0.3767092812
86	0.3759352716
87	0.375514451
88	0.3749561145
89	0.3737889869
90	0.372719996
91	0.3721269976
92	0.370714336
93	0.3700127927
94	0.3696090939
95	0.3688440712
96	0.3682291476
97	0.3676345699
98	0.3669722591
99	0.3664665853
100	0.3657972913
101	0.3653866116
102	0.3649377346
103	0.3642127006
104	0.3637015139
105	0.3629801856
106	0.3623634483
107	0.3615170215
108	0.3606061056
109	0.3600401346
110	0.3596028274
111	0.3592485918
112	0.3586524616
113	0.3582611343
114	0.357519307
115	0.3568389356
116	0.356197654
117	0.3555165321
118	0.3540383629
119	0.3534848854
120	0.3531730564
121	0.352794981
122	0.3524135319
123	0.3519343309
124	0.3505831935
125	0.3500919934
126	0.3489880472
127	0.3485007551
128	0.3475152786
129	0.3471480194
130	0.3468975711
131	0.3464122536
132	0.3455479918
133	0.3452137027
134	0.3441854078
135	0.343702628
136	0.3433570696
137	0.343065017
138	0.3425938467
139	0.3422571784
140	0.3419816427
141	0.34168555
142	0.3414161448
143	0.3405776379
144	0.3400413982
145	0.3398161863
146	0.3394924839
147	0.3391480498
148	0.3386260931
149	0.3384244866
150	0.337911807
151	0.3374751788
152	0.3372543702
153	0.3367046452
154	0.3364156124
155	0.3361318213
156	0.3358253378
157	0.3356679357
158	0.3353914145
159	0.3349024026
160	0.3344593119
161	0.3340228933
162	0.333644656
163	0.3333586231
164	0.3326738775
165	0.3324858226
166	0.3320858226
167	0.3318481086
168	0.3316702743
169	0.3313303378
170	0.3310349589
171	0.3308453027
172	0.3305647756
173	0.3302830101
174	0.3299758324
175	0.3297256597
176	0.3295533568
177	0.3293032498
178	0.3290180321
179	0.3286566431
180	0.3282508813
181	0.3280220168
182	0.3277920839
183	0.3275727465
184	0.3273252272
185	0.3266817467
186	0.3264515219
187	0.3259654553
188	0.3256624141
189	0.325552172
190	0.3252702928
191	0.3250319359
192	0.324781108
193	0.3245274021
194	0.3242038003
195	0.3239219281
196	0.3236709734
197	0.3235577272
198	0.323470155
199	0.3232073426
200	0.3225192855
201	0.322432719
202	0.3221819282
203	0.3219921619
204	0.3218009419
205	0.3214677708
206	0.3212024234
207	0.3208488411
208	0.320626792
209	0.3202887744
210	0.3199996902
211	0.3196935112
212	0.3195348538
213	0.3194012575
214	0.3192244036
215	0.3190066042
216	0.3187165739
217	0.3185039839
218	0.3184026192
219	0.3182332415
220	0.3180692122
221	0.3179159996
222	0.3176098277
223	0.3172858652
224	0.3171060864
225	0.3168541664
226	0.3166604256
227	0.3165112263
228	0.3161601641
229	0.3159458129
230	0.315777407
231	0.315630715
232	0.3154863341
233	0.315458296
234	0.3151782931
235	0.3149814511
236	0.3146365375
237	0.3144424571
238	0.3139698947
239	0.3138492516
240	0.3136049084
241	0.313403348
242	0.3132324976
243	0.3130171786
244	0.3128720487
245	0.3127641223
246	0.3124999152
247	0.3122715168
248	0.3121418536
249	0.3119103425
250	0.3117846814
251	0.3115386994
252	0.3114525029
253	0.3112058049
254	0.3110168455
255	0.3108432882
256	0.3106542122
257	0.3104402051
258	0.3103427261
259	0.3101458485
260	0.3099553864
261	0.3097009425
262	0.3095286554
263	0.3093393289
264	0.3091427883
265	0.3090192642
266	0.3088736569
267	0.3087458235
268	0.3086591304
269	0.3085097097
270	0.3083058958
271	0.3081120242
272	0.3079375886
273	0.3077706251
274	0.3076697818
275	0.3075266301
276	0.3073124969
277	0.3071855397
278	0.3070871338
279	0.306967892
280	0.3068454049
281	0.3067409104
282	0.3066094591
283	0.3062728616
284	0.3058866805
285	0.3055857162
286	0.3053782617
287	0.3051522066
288	0.3050309252
289	0.3048756341
290	0.3046906751
291	0.3045343094
292	0.3043907219
293	0.3042428765
294	0.3040696667
295	0.3039621173
296	0.3037429045
297	0.3035047006
298	0.303314632
299	0.3031671101
300	0.3030251041
301	0.3029415105
302	0.3027517302
303	0.3025045132
304	0.3023212401
305	0.3021615224
306	0.3019831165
307	0.3018178517
308	0.3016088908
309	0.3014698573
310	0.301047232
311	0.3008253836
312	0.3005913249
313	0.3003808238
314	0.3001967667
315	0.2999843535
316	0.2997941751
317	0.2996297691
318	0.2994969665
319	0.2992526186
320	0.2990992562
321	0.2990015689
322	0.2987397191
323	0.2986010205
324	0.2984263626
325	0.2982719622
326	0.2980110925
327	0.2979305602
328	0.2978329626
329	0.297667501
330	0.29756891
331	0.2973613196
332	0.2971428515
333	0.296863765
334	0.2967208956
335	0.2965672315
336	0.2964528116
337	0.2962962601
338	0.2961617244
339	0.2959376321
340	0.2958541188
341	0.2955873215
342	0.2954884066
343	0.2952973233
344	0.2951286614
345	0.2949693718
346	0.2949176616
347	0.2947645679
348	0.294605711
349	0.2944571195
350	0.2942716893
351	0.2941466819
352	0.2939990805
353	0.2938630952
354	0.2937231815
355	0.293640358
356	0.2935070163
357	0.2932024395
358	0.2930869616
359	0.2929029397
360	0.2928024057
361	0.2927281015
362	0.2925120074
363	0.2923900718
364	0.2921546939
365	0.2919823656
366	0.2919004534
367	0.2917715919
368	0.2915546264
369	0.291407263
370	0.2912573558
371	0.2911468288
372	0.2909781283
373	0.2907619582
374	0.2906441673
375	0.2905321469
376	0.2904346434
377	0.2902991663
378	0.2901270217
379	0.289665265
380	0.2893974497
381	0.2892564789
382	0.2891349274
383	0.2889790645
384	0.2888252072
385	0.2886553377
386	0.2885533004
387	0.2883795783
388	0.2882134835
389	0.2879885791
390	0.2878583523
391	0.2876718276
392	0.2875844204
393	0.2873806417
394	0.2872349833
395	0.2870229783
396	0.28678477
397	0.286642968
398	0.2864791289
399	0.2859950551
400	0.2858144258
401	0.2857304011
402	0.2856070483
403	0.2854507938
404	0.2853201083
405	0.2851906998
406	0.2850387186
407	0.2849486475
408	0.2846917471
409	0.284587695
410	0.2844761989
411	0.2842385801
412	0.284162111
413	0.2840498498
414	0.2838465837
415	0.2836544543
416	0.2835661763
417	0.2833320911
418	0.2830657058
419	0.2829379569
420	0.2828271732
421	0.282587418
422	0.2824704261
423	0.2823558554
424	0.282180368
425	0.2819829479
426	0.2818683739
427	0.2816178106
428	0.2813850613
429	0.281293526
430	0.2811799558
431	0.2810802788
432	0.2810229006
433	0.2808659805
434	0.2807680603
435	0.280657343
436	0.2805465647
437	0.2804514469
438	0.2803198185
439	0.2801280375
440	0.2799757122
441	0.2797544969
442	0.2796174633
443	0.2794129979
444	0.2792422758
445	0.2791583326
446	0.2788224874
447	0.2786383537
448	0.2785040421
449	0.2783909439
450	0.2780636763
451	0.277978259
452	0.2778741624
453	0.2777714946
454	0.2776550728
455	0.2774329024
456	0.2771721019
457	0.2770299957
458	0.2769407453
459	0.2767996731
460	0.2766968771
461	0.2765332691
462	0.2764016599
463	0.276245634
464	0.2760379942
465	0.2759042575
466	0.2758110486
467	0.2756528428
468	0.2755248747
469	0.2754626481
470	0.275300795
471	0.2752199463
472	0.2750711671
473	0.2749536503
474	0.2747662233
475	0.2746299888
476	0.2745085964
477	0.2744222302
478	0.2742861515
479	0.2741614087
480	0.274058076
481	0.2738742206
482	0.2736664648
483	0.2735442271
484	0.2733869037
485	0.2731487857
486	0.2730107517
487	0.2729218021
488	0.2727213438
489	0.272558104
490	0.2724536673
491	0.2722505632
492	0.2720910568
493	0.2719959675
494	0.2718207094
495	0.2717222603
496	0.2715679352
497	0.2713871466
498	0.2713223138
499	0.2711771416
500	0.271082285
501	0.270985624
502	0.2708755255
503	0.2707489784
504	0.2705687346
505	0.2703756656
506	0.2702722357
507	0.2701105144
508	0.2699727025
509	0.2698918549
510	0.2697913954
511	0.2696043424
512	0.2694277667
513	0.269288555
514	0.2690430095
515	0.2689230235
516	0.2687713607
517	0.2686470229
518	0.2685325852
519	0.2683747591
520	0.2681883772
521	0.2680682789
522	0.2679313739
523	0.2678390894
524	0.2676590201
525	0.2674873565
526	0.2673354275
527	0.2672189032
528	0.2670669963
529	0.2669385398
530	0.266802096
531	0.2666621026
532	0.2665263363
533	0.2664073696
534	0.2663002708
535	0.2661703589
536	0.2660340081
537	0.265896198
538	0.2657720372
539	0.2656997442
540	0.2655927518
541	0.2655353461
542	0.2653960228
543	0.2652750539
544	0.2650440434
545	0.2648955271
546	0.2647804648
547	0.264620903
548	0.2645246976
549	0.2643996824
550	0.2642663643
551	0.2641467664
552	0.2639951877
553	0.2639437255
554	0.2638634517
555	0.2636535934
556	0.2634972378
557	0.2633965822
558	0.2632340472
559	0.2630772976
560	0.2629764949
561	0.2629079696
562	0.2627540207
563	0.2625968608
564	0.2625101653
565	0.2623453377
566	0.262182822
567	0.2620683563
568	0.2618580497
569	0.2617734211
570	0.2615982966
571	0.2613295285
572	0.2611812221
573	0.2610546531
574	0.2609167888
575	0.2607934774
576	0.2607014791
577	0.2605620734
578	0.2604476779
579	0.2603294705
580	0.2601456472
581	0.2600043661
582	0.2598669812
583	0.2597487952
584	0.2596981432
585	0.2595331672
586	0.2594848156
587	0.2593589772
588	0.2592131043
589	0.2590734348
590	0.2589701191
591	0.2588605579
592	0.2587980413
593	0.2587007417
594	0.2585700235
595	0.2583998248
596	0.2583592281
597	0.2582024989
598	0.2580873269
599	0.2579709414
600	0.2578731907
601	0.2577382275
602	0.2576653704
603	0.257621203
604	0.2575347168
605	0.2573702725
606	0.2572361284
607	0.2571086225
608	0.2569838552
609	0.256885069
610	0.2567656716
611	0.2566304443
612	0.2565276368
613	0.2564029639
614	0.2562894039
615	0.2561733106
616	0.2560380557
617	0.2559015457
618	0.2558046636
619	0.2557601261
620	0.2556912053
621	0.2555413978
622	0.2553671251
623	0.255277388
624	0.2551521377
625	0.2550735774
626	0.2548848195
627	0.2547835477
628	0.2547119457
629	0.2546316928
630	0.2545484592
631	0.2544931096
632	0.2543880568
633	0.2543005219
634	0.2542129701
635	0.2541418445
636	0.2540561161
637	0.2538631883
638	0.2537633032
639	0.2536455862
640	0.2535153744
641	0.2532996251
642	0.2532063302
643	0.2530774164
644	0.2529826619
645	0.2528513111
646	0.2527163961
647	0.252671286
648	0.2524980101
649	0.2523765782
650	0.2522268779
651	0.2520216474
652	0.2519257
653	0.2518141999
654	0.2517156333
655	0.2515717079
656	0.2513883008
657	0.2512826489
658	0.2511134477
659	0.2509803228
660	0.2509062094
661	0.2507917871
662	0.2507001292
663	0.2505487901
664	0.2504048111
665	0.2503073524
666	0.2501732907
667	0.250116406
668	0.2499884613
669	0.2498810225
670	0.2498086421
671	0.2497691947
672	0.2496567009
673	0.249507397
674	0.2494129792
675	0.2492787649
676	0.2491948275
677	0.2489946872
678	0.2488981994
679	0.248805447
680	0.2486877422
681	0.2485804771
682	0.2484875626
683	0.2484469653
684	0.2483194928
685	0.2482613877
686	0.2481331752
687	0.2479443749
688	0.2478064485
689	0.2476791445
690	0.2475242119
691	0.2474058741
692	0.2472739363
693	0.2471727064
694	0.247044073
695	0.2469084882
696	0.2467769911
697	0.2467021643
698	0.2465531907
699	0.2464250145
700	0.2463318665
701	0.2461904962
702	0.2460924718
703	0.2460062094
704	0.2459666208
705	0.245809105
706	0.2456987958
707	0.2456265972
708	0.2455686984
709	0.245514155
710	0.2454173112
711	0.2452975982
712	0.2452069548
713	0.2451042466
714	0.2449474018
715	0.2448362112
716	0.2446955523
717	0.2445811835
718	0.2444620212
719	0.2444063914
720	0.2442718432
721	0.2441840143
722	0.2440930668
723	0.2439740481
724	0.2438862025
725	0.2437766976
726	0.2436878104
727	0.2436344792
728	0.2435135269
729	0.2433840288
730	0.2433305113
731	0.2432291012
732	0.243141197
733	0.2430131898
734	0.2429225643
735	0.2427761262
736	0.2426313252
737	0.2425376413
738	0.2424422153
739	0.2423145877
740	0.2422288177
741	0.2420951139
742	0.242015588
743	0.2419436247
744	0.241835281
745	0.241783879
746	0.2416393648
747	0.2415028963
748	0.2413940134
749	0.2413331588
750	0.2412532008
751	0.2411621844
752	0.2411010625
753	0.2410261313
754	0.2409446506
755	0.2408461408
756	0.2407097171
757	0.2406350358
758	0.2405401084
759	0.2404649805
760	0.2403385676
761	0.2402925582
762	0.2401991464
763	0.2400790126
764	0.2399662995
765	0.2398875152
766	0.2398109305
767	0.239726159
768	0.2396758047
769	0.23961394
770	0.2395067575
771	0.2394362541
772	0.2393435053
773	0.2392310064
774	0.2391391472
775	0.2390399585
776	0.2389140981
777	0.2388100864
778	0.2387310569
779	0.2386173308
780	0.2385068246
781	0.2384136439
782	0.2383621473
783	0.23827278
784	0.2381753383
785	0.23806551
786	0.2380073909
787	0.2379334179
788	0.2378574559
789	0.2377781009
790	0.2376567745
791	0.2375201692
792	0.2374049619
793	0.2372752318
794	0.2371827789
795	0.2370460815
796	0.2369324387
797	0.2367852401
798	0.2366936571
799	0.2365925979
800	0.2365261179
801	0.2364122457
802	0.2362837428
803	0.2361338182
804	0.2360819133
805	0.2360069028
806	0.2358885912
807	0.2358145215
808	0.2356715135
809	0.2355564079
810	0.2355023789
811	0.2354413026
812	0.2353448915
813	0.235303397
814	0.2352015463
815	0.2350898462
816	0.2349798612
817	0.2349134962
818	0.2348661398
819	0.2348271639
820	0.2347560992
821	0.2346560112
822	0.2345957539
823	0.2345541037
824	0.234479109
825	0.2344337986
826	0.2343295042
827	0.2341937699
828	0.234098725
829	0.2340318734
830	0.2339098416
831	0.2338501917
832	0.2337909593
833	0.2336683571
834	0.2335820641
835	0.2335145838
836	0.2334592544
837	0.2333989535
838	0.2332798593
839	0.2332087656
840	0.2331285677
841	0.2330008302
842	0.2328444297
843	0.232767994
844	0.2327243105
845	0.2326345188
846	0.2325346261
847	0.2323994918
848	0.2322946349
849	0.2321643661
850	0.2320630004
851	0.2319345927
852	0.2318509871
853	0.2317510071
854	0.2317093664
855	0.2316805159
856	0.2315993731
857	0.2314986697
858	0.2314371502
859	0.2313556789
860	0.231250845
861	0.2311249751
862	0.2310284874
863	0.2309398827
864	0.230845228
865	0.2307425773
866	0.2306512115
867	0.23057147
868	0.2305080379
869	0.2304521844
870	0.2303626007
871	0.2302705889
872	0.2301692645
873	0.2300905443
874	0.2299955457
875	0.2298838028
876	0.2297476493
877	0.2296810962
878	0.2296043745
879	0.2294908686
880	0.2293961304
881	0.2292825793
